Date,Day ,Month,Year,Quarter,Open,High,Low,Close,Volume
22-06-1993,Tuesday,June,1993,Q2,0.308302,0.316676,0.299788,0.312133,398331087.3
23-06-1993,Wednesday,June,1993,Q2,0.314822,0.314822,0.301704,0.30512,214006451.1
24-06-1993,Thursday,June,1993,Q2,0.30512,0.314822,0.301704,0.314822,263874185.8
25-06-1993,Friday,June,1993,Q2,0.304586,0.307333,0.298019,0.301704,304524179.9
28-06-1993,Monday,June,1993,Q2,0.30512,0.30512,0.292192,0.302484,418742318.1
29-06-1993,Tuesday,June,1993,Q2,0.303433,0.303433,0.290206,0.293991,348463416.4
30-06-1993,Wednesday,June,1993,Q2,0.292192,0.299788,0.290206,0.298019,237136576.8
01-07-1993,Thursday,July,1993,Q3,0.293991,0.299788,0.286542,0.286542,258343595.9
02-07-1993,Friday,July,1993,Q3,0.288281,0.292192,0.284705,0.290206,226924328.6
06-07-1993,Tuesday,July,1993,Q3,0.288281,0.293991,0.282909,0.284705,183847141.5
07-07-1993,Wednesday,July,1993,Q3,0.282909,0.285633,0.27322,0.275056,268847616.8
08-07-1993,Thursday,July,1993,Q3,0.275056,0.282909,0.27322,0.275056,164563214.7
09-07-1993,Friday,July,1993,Q3,0.278937,0.280756,0.275056,0.27715,185770242.9
12-07-1993,Monday,July,1993,Q3,0.27715,0.287392,0.27322,0.286542,205902987.9
13-07-1993,Tuesday,July,1993,Q3,0.292192,0.292192,0.278937,0.280756,187229139.6
14-07-1993,Wednesday,July,1993,Q3,0.27715,0.282909,0.269663,0.280756,291659412.3
15-07-1993,Thursday,July,1993,Q3,0.280756,0.284705,0.265732,0.269663,400293968.2
16-07-1993,Friday,July,1993,Q3,0.21469,0.22348,0.199699,0.207431,2511141061
19-07-1993,Monday,July,1993,Q3,0.211173,0.216873,0.192468,0.193404,954713430.7
20-07-1993,Tuesday,July,1993,Q3,0.197879,0.209308,0.194165,0.20266,629870830.4
21-07-1993,Wednesday,July,1993,Q3,0.196033,0.201741,0.192468,0.197879,539870341.3
22-07-1993,Thursday,July,1993,Q3,0.196033,0.20357,0.194165,0.199699,250067661.1
23-07-1993,Friday,July,1993,Q3,0.20357,0.207431,0.196033,0.197879,276831763.8
26-07-1993,Monday,July,1993,Q3,0.201741,0.207431,0.196033,0.20266,180969201.6
27-07-1993,Tuesday,July,1993,Q3,0.201741,0.207431,0.197879,0.199699,235186955.4
28-07-1993,Wednesday,July,1993,Q3,0.197879,0.20357,0.197879,0.20266,108700815.9
29-07-1993,Thursday,July,1993,Q3,0.20357,0.207431,0.201741,0.205464,143727619.3
30-07-1993,Friday,July,1993,Q3,0.207431,0.212863,0.20357,0.209308,253940351.6
